zip,tier
05765,DAS
05766,DAS_EXTENDED
05767,DAS_EXTENDED
05768,DAS
05769,DAS_EXTENDED
05770,DAS_EXTENDED
05772,DAS_EXTENDED
05773,DAS_EXTENDED
05774,DAS_EXTENDED
05775,DAS_EXTENDED
05776,DAS_EXTENDED
05777,DAS_EXTENDED
05778,DAS_EXTENDED
05819,DAS
05820,DAS_EXTENDED
05821,DAS_EXTENDED
05822,DAS_EXTENDED
05823,DAS
05824,REMOTE_US48
05825,DAS_EXTENDED
05826,DAS_EXTENDED
05827,DAS_EXTENDED
05828,DAS_EXTENDED
05829,DAS
05830,DAS
05832,DAS_EXTENDED
05833,DAS_EXTENDED
05836,DAS_EXTENDED
05837,DAS_EXTENDED
05839,DAS_EXTENDED
05840,REMOTE_US48
05841,DAS_EXTENDED
05842,DAS_EXTENDED
05843,DAS_EXTENDED
05845,REMOTE_US48
05846,DAS_EXTENDED
05847,DAS_EXTENDED
05848,DAS
05849,DAS_EXTENDED
05850,DAS
05851,DAS
05853,REMOTE_US48
05855,DAS
05857,DAS_EXTENDED
05858,DAS_EXTENDED
05859,DAS_EXTENDED
05860,DAS_EXTENDED
05861,DAS_EXTENDED
05862,DAS_EXTENDED
05863,DAS
05866,DAS_EXTENDED
05867,REMOTE_US48
05868,DAS_EXTENDED
05871,DAS_EXTENDED
05872,DAS_EXTENDED
05873,DAS_EXTENDED
05874,DAS_EXTENDED
05875,DAS_EXTENDED
05901,REMOTE_US48
05902,DAS_EXTENDED
05903,DAS_EXTENDED
05904,DAS_EXTENDED
05905,REMOTE_US48
05906,DAS_EXTENDED
05907,DAS_EXTENDED
06001,DAS
06013,DAS
06016,DAS
06018,DAS
06019,DAS
06020,DAS
06021,DAS_EXTENDED
06022,DAS
06024,DAS_EXTENDED
06026,DAS
06027,DAS_EXTENDED
06031,DAS
06035,DAS
06039,DAS
06043,DAS
06057,DAS
06058,DAS_EXTENDED
06059,DAS
06060,DAS
06061,DAS_EXTENDED
06062,DAS
